raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
ThCS Bình An,học sinh,hoc sinh,60,thcs binh an,50,None,-1
Đại học Kinh tế Quốc dân,Kinh tế và Quản lý đô thị,kinh te quan ly do thi,33,dai hoc kinh te quoc dan,69,dai hoc kinh te quoc dan,100
Đại học Kiến Trúc Hà Nội,Xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,32,dai hoc kien truc ha noi,54,dai hoc kien truc ha noi,100
ĐH Hà Tĩnh,Quản trị kinh doanh,quan tri kinh doanh,35,dai hoc ha tinh,32,dai hoc ha tinh,100
kinh tế kĩ thuật thái nguyên,kế toán,ke toan,23,kinh te ki thuat thai nguyen,82,None,-1
học viện tài chính,Tài Chính Ngân Hàng,tai chinh ngan hang,27,hoc vien tai chinh,78,hoc vien tai chinh,100
Đại Học Nguyễn Tất Thành,Điện công nghiệp và dân dụng,dien cong nghiep dan dung,35,dai hoc nguyen tat thanh,58,dai hoc nguyen tat thanh,100
Cao đẳng Thương Mại và Du Lịch,Quản trị Khách Sạn,quan tri khach san,27,cao dang thuong mai du lich,56,None,-1
FPT Polytechnic,Ứng dụng phần mềm,ung dung phan mem,25,fpt polytechnic,73,None,-1
CDCD BINH THUAN,quản trị văn phòng,quan tri van phong,30,cao dang cao dang binh thuan,9,None,-1
ĐH thuỷ sản nha trang,Nuôi Trồng Thủy sản,nuoi trong thuy san,36,dai hoc thuy san nha trang,72,None,-1
Học viện Báo chí Tuyên truyền,Xuất bản,xuat ban,16,hoc vien bao chi tuyen truyen,69,hoc vien bao chi tuyen truyen,100
cao đẳng công thương,tài chính ngân hàng,tai chinh ngan hang,46,cao dang cong thuong,75,None,-1
đại học đa nẵng,điện kỹ thuật,dien ky thuat,21,dai hoc da nang,67,dai hoc da nang,100
Cao đẳng Kinh Kinh Tế Công Nghệ Tp.HCM,Tài Chính - Ngân Hàng,tai chinh ngan hang,36,cao dang kinh kinh te cong nghe hcm,58,None,-1
Trường đào tạo lái xe thăng long,lái xe hạng B2,lai xe hang b2,59,dao tao lai xe thang long,75,None,-1
năng khiếu thể dục thể thao,cầu mây,cau may,12,nang khieu the duc the thao,81,None,-1
Hutech University,English for forein trade,english for forein trade,24,hutech university,88,None,-1
Đại Học Khoa Học Tự Nhiên,Sinh hóa,sinh hoa,30,dai hoc khoa hoc tu nhien,56,None,-1
ĐH Tôn Đức Thắng,Kế toán - Kiểm Toán,ke toan kiem toan,35,dai hoc ton duc thang,43,dai hoc ton duc thang,100
ĐH Tôn Đức Thắng,Công nghệ hóa,cong nghe hoa,29,dai hoc ton duc thang,43,dai hoc ton duc thang,100
Đại học thương Mại,marketing,marketing,30,dai hoc thuong mai,61,dai hoc thuong mai,100
Đại Học Lạc Hồng,Quản Trị Kinh Doanh,quan tri kinh doanh,29,dai hoc lac hong,50,dai hoc lac hong,100
THPT Phan Huy Chú Đống Đa,THPT,thpt,0,thpt phan huy chu dong da,56,None,-1
Cao Đẳng Nghề Bách Khoa Hà Nội,Quản Trị Mạng,quan tri mang,19,cao dang nghe bach khoa ha noi,60,cao dang nghe bach khoa ha noi ,98
Đại học Công Nghệ - Đại học Quốc gia,Công Nghệ Thông tin,cong nghe thong tin,34,dai hoc cong nghe dai hoc quoc gia,63,None,-1
Duy Tan,tài chính ngân hàng,tai chinh ngan hang,15,duy tan,71,None,-1
Kinh nghiệm tự tìm hiểu,Tự học,tu hoc,14,kinh nghiem tu tim hieu,78,None,-1
Đại học lao động xã hội,Quản trị kinh doanh,quan tri kinh doanh,33,dai hoc lao dong xa hoi,70,dai hoc lao dong   xa hoi,96
Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nôi,Điện Công Nghiệp,dien cong nghiep,29,cao dang dien tu dien lanh ha noi,48,cao dang dien tu   dien lanh ha noi,97
cao đẳng văn hóa nghệ thuật du lịch sài gòn,lữ hành,lu hanh,16,cao dang van hoa nghe thuat du lich sai gon,79,cao dang van hoa nghe thuat du lich sai gon,100
ngoại ngữ đông du,nhật ngữ,nhat ngu,32,ngoai ngu dong du,76,None,-1
hoa ngữ dân lập tân bảo,hoa ngữ,hoa ngu,40,hoa ngu dan lap tan bao,78,None,-1
Đại học Sư Phạm Hà Nội,Sư phạm Mỹ thuật,su pham my thuat,32,dai hoc su pham ha noi,50,dai hoc su pham ha noi,100
nguyễn tất thành,dược sĩ,duoc si,9,nguyen tat thanh,81,None,-1
Trường Đại học Khoa học xã hội và nhân văn,Ngữ văn Anh,ngu van anh,19,dai hoc khoa hoc xa hoi nhan van,62,None,-1
Đại học Cần Thơ,Kỹ thuật phần mềm,ky thuat phan mem,31,dai hoc can tho,53,dai hoc can tho,100
Đại học Văn hóa Hà Nội,Văn hóa học- truyền thông và nghiên cứu,van hoa hoc truyen thong nghien cuu,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
THPT Nguyễn Thái Bình,Trung Học,trung hoc,20,thpt nguyen thai binh,52,None,-1
Saigontech Institude University,Internation business,internation business,43,saigontech institude university,90,None,-1
Đại học Đà Lạt,Luật học,luat hoc,27,dai hoc da lat,50,dai hoc da lat,100
Trường CĐ GTVT3,Quản Trị Kinh Doanh,quan tri kinh doanh,30,cao dang giao thong van tai3,23,None,-1
đại học sư phạm hà nội,gd mầm non,gd mam non,38,dai hoc su pham ha noi,68,dai hoc su pham ha noi,100
Trường THPT Đoàn kết ,12/12,12/12,0,thpt doan ket,35,None,-1
đại học kinh doanh và công nghệ,quản trị kinh doanh,quan tri kinh doanh,51,dai hoc kinh doanh cong nghe,78,None,-1
đại học thái nguyên,ngôn ngữ anh,ngon ngu anh,26,dai hoc thai nguyen,74,dai hoc thai nguyen,100
đại học giáo dục- đại học quốc gia hà nội,sư phạm lịch sử,su pham lich su,22,dai hoc giao duc dai hoc quoc gia ha noi,72,dai hoc giao duc dai hoc quoc gia ha noi,100
Cao Đẳng Kinh Tế Kỹ Thuật TP. Hồ Chí Minh,Quản Trị Kinh Doanh,quan tri kinh doanh,33,cao dang kinh te ky thuat hcm,49,None,-1
Saigontourist Hospitality College,Hotel management,hotel management,24,saigontourist hospitality college,91,None,-1
Đại Học Lâm Nghiệp Việt Nam,Quản lý tài nguyên thiên nhiên,quan ly tai nguyen thien nhien,35,dai hoc lam nghiep viet nam,59,None,-1
Trường Cao Đẳng Nghề KTCN Việt Nam -Hàn Quốc,CNTT,cntt,0,cao dang nghe ktcn viet nam han quoc,49,None,-1
Đại Học Thành Đô,kế toán,ke toan,26,dai hoc thanh do,50,dai hoc thanh do,100
Trường Đại học Kinh doanh và Công nghệ Hà Nội,Kinh doanh quốc tế,kinh doanh quoc te,45,dai hoc kinh doanh cong nghe ha noi,60,dai hoc kinh doanh cong nghe ha noi,100
Đại Học La Trobe ,Quản Trị Kinh Doanh,quan tri kinh doanh,23,dai hoc la trobe,61,None,-1
học viện công nghệ bưu chính viễn thông,điện tử - truyền thông,dien tu truyen thong,39,hoc vien cong nghe buu chinh vien thong,79,hoc vien cong nghe buu chinh vien thong,100
Đại học Công Nghệ Hutech,Tài chính- tín dụng,tai chinh tin dung,37,dai hoc cong nghe hutech,67,None,-1
trung cấp nghề số 18,điện tử công nghiệp,dien tu cong nghiep,33,trung cap nghe so 18,79,None,-1
Troy University,Quản trị kinh doanh,quan tri kinh doanh,24,troy university,87,None,-1
đại học kinh tế,quản trị kinh doanh,quan tri kinh doanh,41,dai hoc kinh te,73,None,-1
đại học sư phạm kĩ thuật tp HCM,kĩ thuật nữ công,ki thuat nu cong,36,dai hoc su pham ki thuat hcm,61,None,-1
anh van hoi viet my,tieng anh,tieng anh,36,anh van hoi viet my,100,None,-1
đại học ngoại thương,kinh tế đối ngoại,kinh te doi ngoai,38,dai hoc ngoai thuong,70,dai hoc ngoai thuong,100
đại học giao thông vận tải,vận tải kinh tế,van tai kinh te,29,dai hoc giao thong van tai,77,dai hoc giao thong van tai,100
công nghệ,cntt,cntt,31,cong nghe,78,None,-1
Trung học phổ thông nguyễn trải,ngoại ngữ,ngoai ngu,30,trung hoc pho thong nguyen trai,81,None,-1
Trung học phổ thông nguyễn trải,ngoại ngữ,ngoai ngu,30,trung hoc pho thong nguyen trai,81,None,-1
Đại học Lạc Hồng,Xây dựng dân dụng.,xay dung dan dung,29,dai hoc lac hong,56,dai hoc lac hong,100
Đại học Thăng Long,Tài chính - Ngân hàng,tai chinh ngan hang,46,dai hoc thang long,67,dai hoc thang long,100
Học viện nông nghiệp Việt Nam,Xã hội học,xa hoi hoc,21,hoc vien nong nghiep viet nam,72,hoc vien nong nghiep viet nam,100
Học viện ngân hàng,Hệ thống thông tin quản lý,he thong thong tin quan ly,36,hoc vien ngan hang,72,hoc vien ngan hang,100
truong thcs xuan thoi thuong,dien vien,dien vien,27,thcs xuan thoi thuong,86,None,-1
Đại học kinh tế - Đại học Huế,Tin học kinh tế,tin hoc kinh te,52,dai hoc kinh te dai hoc hue,64,None,-1
Cao đẳng Bách Khoa,Công nghệ thông tin,cong nghe thong tin,32,cao dang bach khoa,67,None,-1
Amity international school,Toán,toan,13,amity international school,96,None,-1
Trường trung học Colette,quản trị kinh doanh,quan tri kinh doanh,33,trung hoc colette,73,None,-1
trường ĐH Công Nghiệp TP.HCM,Điện,dien,15,dai hoc cong nghiep hcm,39,dai hoc cong nghiep   hcm,96
Trường Đại học Kinh Tế Quốc Dân, Ngân hàng,ngan hang,24,dai hoc kinh te quoc dan,51,dai hoc kinh te quoc dan,100
CĐ thực hành fpt  polytechnic,ứng dụng phần mềm,ung dung phan mem,31,cao dang thuc hanh fpt polytechnic,76,None,-1
Trường Đại Học Khoa Học Tự Nhiên, Công nghệ thông tin,cong nghe thong tin,40,dai hoc khoa hoc tu nhien,49,None,-1
Trường Đại Học Khoa Học Tự Nhiên, Công nghệ thông tin,cong nghe thong tin,40,dai hoc khoa hoc tu nhien,49,None,-1
DpiCENTER,Graphic Design ,graphic design,42,dpicenter,22,None,-1
Đại học Mở TPHCM,Quản trị kinh doanh quốc tế,quan tri kinh doanh quoc te,29,dai hoc mo hcm,40,None,-1
học viện bưu chính viễn thông,quản trị kinh doanh,quan tri kinh doanh,38,hoc vien buu chinh vien thong,79,None,-1
Đại học Sư phạm TP Hồ Chí Minh,Cử nhân Tiếng Trung,cu nhan tieng trung,21,dai hoc su pham hcm,45,dai hoc su pham   hcm,95
Đại học Kinh tế Quốc dân,Kinh tế đầu tư,kinh te dau tu,42,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,Software Engineer,software engineer,22,dai hoc cong nghe thong tin dai hoc quoc gia hcm,59,dai hoc cong nghe thong tin dai hoc quoc gia hcm,100
trường trung học cơ sở tuy hòa,trung học,trung hoc,55,trung hoc co so tuy hoa,74,None,-1
HUTECH - Trường Đại học Công nghệ TP.HCM,Ngôn ngữ ANh,ngon ngu anh,30,hutech truong dai hoc cong nghe hcm,45,None,-1
Đại học Sài Gòn,Sư phạm Toán,su pham toan,37,dai hoc sai gon,53,dai hoc sai gon,100
Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Linguistics,linguistics,13,dai hoc khoa hoc xa hoi nhan van hcm,53,None,-1
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Công nghệ thông tin,cong nghe thong tin,37,dai hoc cong nghe dai hoc quoc gia ha noi,62,dai hoc cong nghe dai hoc quoc gia ha noi,100
Trường Viện Đại học Mở Hà Nội,Bussiness Administration,bussiness administration,35,vien dai hoc mo ha noi,43,None,-1
Đại học kinh doanh công nghệ Hà Nội,Công nghệ thông tin,cong nghe thong tin,37,dai hoc kinh doanh cong nghe ha noi,74,dai hoc kinh doanh cong nghe ha noi,100
ĐH Thương Mại, Marketing,marketing,29,dai hoc thuong mai,39,dai hoc thuong mai,100
Đại học Hà Nội ,Ngôn ngữ Nga,ngon ngu nga,22,dai hoc ha noi,48,dai hoc ha noi,100
dh khoa hoc tu nhien,hoa hoc,hoa hoc,44,dai hoc khoa hoc tu nhien,89,None,-1
Học viện tài chính,Kế toán tài chính,ke toan tai chinh,57,hoc vien tai chinh,72,hoc vien tai chinh,100
đại học giao thông vận tải,quản trị doanh nghiệp xây dựng giao thông,quan tri doanh nghiep xay dung giao thong,42,dai hoc giao thong van tai,77,dai hoc giao thong van tai,100
Đại học Giao thông vận tải,Thạc sĩ Quản trị kinh doanh,thac si quan tri kinh doanh,34,dai hoc giao thong van tai,73,dai hoc giao thong van tai,100
ĐH Công Đoàn,Quản trị kinh doanh,quan tri kinh doanh,44,dai hoc cong doan,41,dai hoc cong doan,100
trường chuyên Hưng Yên,Tin,tin,11,chuyen hung yen,53,None,-1
Học Viện Ngân Hàng,Tiếng Anh Tài Chính,tieng anh tai chinh,38,hoc vien ngan hang,56,hoc vien ngan hang,100
Khoa Quốc tế - Đại học Quốc gia Hà Nội,Thạc sỹ nghiên cứu thị trường và chiến lược Marketing,thac sy nghien cuu thi truong chien luoc marketing,31,khoa quoc te dai hoc quoc gia ha noi,62,None,-1
Đại học Khoa học xã hội và nhân văn,Khoa Đông Phương học,khoa dong phuong hoc,31,dai hoc khoa hoc xa hoi nhan van,69,None,-1
Đại học Nông Lâm Tp.HCM,Công nghệ kĩ thuật hóa học,cong nghe ki thuat hoa hoc,35,dai hoc nong lam hcm,47,dai hoc nong lam   hcm,95
học viện tài chính,tài chính - ngân hàng,tai chinh ngan hang,36,hoc vien tai chinh,78,hoc vien tai chinh,100
cao đẵng công nghệ thủ đức,Quản trị kinh doanh,quan tri kinh doanh,31,cao dang cong nghe thu duc,73,cao dang cong nghe thu duc,100
Đại Học Lạc Hồng,Quản trị kinh tế quốc tế (Quản trị kinh doanh),quan tri kinh te quoc te,26,dai hoc lac hong,50,dai hoc lac hong,100
cao đẳng xây dựng 1,xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,39,cao dang xay dung 1,79,None,-1
Trường Trung Tâm Giáo Dục Thường Xuyên Cam Lâm,Học Sinh,hoc sinh,13,trung tam giao duc thuong xuyen cam lam,56,None,-1
đại học ngân hàng tp.hcm,tài chính- ngân hàng,tai chinh ngan hang,54,dai hoc ngan hang hcm,71,dai hoc ngan hang   hcm,95
trường cao đẳng xây dựng,xây dựng,xay dung,48,cao dang xay dung,63,None,-1
Deakin University ,Commerce ,commerce,15,deakin university,86,None,-1
ĐH Ngoại thương,Tài chính Ngân hàng,tai chinh ngan hang,46,dai hoc ngoai thuong,51,dai hoc ngoai thuong,100
thpt,cấp 3,cap 3,22,thpt,100,None,-1
trường thpt trung văn,kinh doanh,kinh doanh,33,thpt trung van,74,None,-1
Đại học Nông lâm TPHCM,Quản lý đất đai,quan ly dat dai,23,dai hoc nong lam hcm,52,dai hoc nong lam   hcm,95
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,Sư phạm tiếng Anh,su pham tieng anh,27,dai hoc ngoai ngu dai hoc quoc gia ha noi,69,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
Đại học Tôn Đức Thắng,Kinh doanh quốc tế,kinh doanh quoc te,51,dai hoc ton duc thang,57,dai hoc ton duc thang,100
trung cấp nghề văn lang,đầu bếp,dau bep,20,trung cap nghe van lang,87,None,-1
Học viện Nông nghiệp Việt Nam,Công nghệ thông tin,cong nghe thong tin,42,hoc vien nong nghiep viet nam,69,hoc vien nong nghiep viet nam,100
Đại học Kinh tế quốc dân,Kế toán tổng hợp,ke toan tong hop,30,dai hoc kinh te quoc dan,71,dai hoc kinh te quoc dan,100
trung cấp dược Hà Nội,dược ,duoc,23,trung cap duoc ha noi,67,None,-1
trung cấp dược Hà Nội,dược,duoc,16,trung cap duoc ha noi,67,None,-1
Đại học GTVT,CNTT,cntt,0,dai hoc giao thong van tai,26,dai hoc giao thong van tai,100
Đại học Sài Gòn,quản trị văn phòng,quan tri van phong,33,dai hoc sai gon,71,dai hoc sai gon,100
Trung cấp Kinh tế kĩ thuật nghiệp vụ Nguyễn Hữu Cảnh,thiết kế thời trang,thiet ke thoi trang,34,trung cap kinh te ki thuat nghiep vu nguyen huu canh,73,None,-1
DPI center,thiết kế đồ họa,thiet ke do hoa,16,dpi center,70,None,-1
công ty Digital Work,Animation và VFX,animation vfx,22,cong ty digital work,85,None,-1
Đại Học Kiến Trúc Tp.Hồ Chí Minh,Thiết Kế Đồ Hoạ,thiet ke do hoa,22,dai hoc kien truc hcm,42,dai hoc kien truc   hcm,95
Đại Học Kinh Tế Tài Chính,Quản Trị Kinh Doanh,quan tri kinh doanh,41,dai hoc kinh te tai chinh,56,None,-1
Trung Học Thực Hành - Đại Học Sư Phạm,Khoa Học Xã Hội,khoa hoc xa hoi,28,trung hoc thuc hanh dai hoc su pham,56,None,-1
ĐH Luật TP.HCM,Luật Quốc Tế,luat quoc te,29,dai hoc luat hcm,27,None,-1
Đại Học Công Nghệ TPHCM,Tài chính - Ngân hàng,tai chinh ngan hang,38,dai hoc cong nghe hcm,45,dai hoc cong nghe   hcm,95
đai hoc đại nam,xay dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,26,dai hoc dai nam,80,dai hoc dai nam,100
dai hoc cong nghiep tphcm,kinh doanh quoc te,kinh doanh quoc te,39,dai hoc cong nghiep hcm,96,dai hoc cong nghiep   hcm,96
trung cấp,7/12,7/12,0,trung cap,89,None,-1
Cao Đẵng Nghề Sô 8,Kế Toán,ke toan,16,cao dang nghe so 8,61,None,-1
Cao đẳng Nghề Long Biên,Kế toán,ke toan,20,cao dang nghe long bien,65,cao dang nghe long bien,100
Đại học công nghệ thông tin Gia Định,Ngôn ngữ Anh,ngon ngu anh,33,dai hoc cong nghe thong tin gia dinh,75,None,-1
Trường đại học ngoại ngữ và tin học thành phố Hồ Chí Minh,Đông Phương học - chuyên ngành tiếng Nhật,dong phuong hoc chuyen nganh tieng nhat,40,dai hoc ngoai ngu tin hoc hcm,49,None,-1
Đại học Kinh tế Luật TPHCM,Kinh tế Đối ngoại,kinh te doi ngoai,32,dai hoc kinh te luat hcm,59,None,-1
Trương cao đẳng y tế Bạc Liêu,y sĩ,y si,15,cao dang y te bac lieu,59,cao dang y te bac lieu,100
đại học sư pham tp. Hồ Chí Minh,sư phạm mầm non,su pham mam non,41,dai hoc su pham hcm,52,dai hoc su pham   hcm,95
trường pt đông kinh,hết lớp 12,het lop 12,27,pt dong kinh,65,None,-1
Trường đại học GTVT tp Hồ Chí Minh,Kỹ sư Kinh tế xây dựng,ky su kinh te xay dung,27,dai hoc giao thong van tai hcm,34,dai hoc giao thong van tai   hcm,97
Học Viện công nghệ Bưu Chính Viễn Thông cơ sở tại TPHCM,Quản Trị Kinh Doanh,quan tri kinh doanh,28,hoc vien cong nghe buu chinh vien thong co so tai hcm,61,None,-1
Học viện Ngoại giao,Quan hệ Quốc tế,quan he quoc te,18,hoc vien ngoai giao,74,hoc vien ngoai giao,100
Dh sai gon,tai chinh ngan hang,tai chinh ngan hang,47,dai hoc sai gon,72,dai hoc sai gon,100
south China University of technology,international economy and Trade,international economy and trade,36,south china university of technology,94,None,-1
Đại học Đông Đô,Tài chính ngân hàng,tai chinh ngan hang,41,dai hoc dong do,53,dai hoc dong do,100
THPT Hương Cần,học sinh,hoc sinh,27,thpt huong can,36,None,-1
"đại học Khoa học Xã hội và Nhân văn, Hà Nội",Công tác xã hội ,cong tac xa hoi,29,dai hoc khoa hoc xa hoi nhan van ha noi,59,None,-1
Đại học Shute Đài Loan,Quản lý rủi ro tài chính,quan ly rui ro tai chinh,35,dai hoc shute dai loan,68,None,-1
Saigon College of Art Culture and Tourism (SAIGONACT),Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,26,saigon college of art culture and tourism,77,None,-1
Đại học ngoại ngữ Đà Nẵng,Ngôn Ngữ Anh,ngon ngu anh,27,dai hoc ngoai ngu da nang,64,dai hoc ngoai ngu da nang,100
